i	j	affiliation
SEGAS SEBASTIEN	2015_ST34	U. RENNES 2, CRAPE
SEGAS SEBASTIEN	2017_ST11	U. RENNES 2, CRAPE ARENES
SEGAS SEBASTIEN	2017_ST36	U. RENNES 2, CRAPE/ARENES
SEGATTI PAOLO	2011_ST33	U. MILAN (ITALIE)
SEGUIN EVE	2013_ST20	DEPARTEMENT DE SCIENCE POLITIQUE, U. QUEBEC A MONTREAL (CANADA)
SEILER DANIEL LOUIS	2009_ST48	NA
SEKKAT KHALID	2009_ST4	U. LIBRE BRUXELLES (BELGIQUE), DULBEA
SELDES BARRY	2013_ST41	NA
SELPONI YOHAN	2013_ST5	CADIS, EHESS PARIS
SELPONI YOHAN	2017_ST12	CESAER / LASSP, IEP TOULOUSE
SEMAL LUC	2009_ST40	CETCOPRA, PARIS 1
SEMAL LUC	2013_ST62	CERAPS, U. LILLE 2
SEMAL LUC	2015_ST26	CESCO, MNHN PARIS
SEMAL LUC	2015_ST56	CESCO, MNHN PARIS
SEMPE MATHILDE	2015_ST10	ISP, U. PARIS 10
SENAC REJANE	2009_ST6	SLAWINSKI CMH
SENAC REJANE	2011_ST22	SLAWINSKI CMH, EHESS ENS
SENAC REJANE	2013_ST65	CEVIPOF, SCIENCES PO PARIS
SENAC REJANE	2017_ST28	CEVIPOF, SCIENCES PO PARIS
SERENI PAUL	2013_ST63	CHSPM
SEREQUEBERHAN HEWANE	2015_ST51	U. PARIS 2 / IRSEM
SERGENT ARNAUD	2011_ST12	CED, IEP BORDEAUX / UNITE ADBX, CEMAGREF BORDEAUX
SERGENT ARNAUD	2017_ST4	IRSTEA, BORDEAUX
SERRANO ENRIQUE	2009_ST38	CRPS, U. PARIS 1
SERRANO ENRIQUE	2011_ST50	NA
SERRANO JUAN	2015_ST50	U. MURCIE (ESPAGNE)
SERRANO JUAN	2015_ST52	U. MURCIE (ESPAGNE)
SERRANO KATHIA	2011_ST24	U. HEIDELBERG (ALLEMAGNE)
SERRANO YENY	2017_ST17	LISEC
SHAFIR MICHAEL	2015_STRC20IPSA	BABES BOLYAI U.
SHEMER YOAV	2015_ST43	U. STRASBOURG / VRIJE UNIVERSITEIT AMSTERDAM (PAYS-BAS)
SHEMER YOAV	2017_ST66	U. STRASBOURG / VRIJE UNIVERSITEIT AMSTERDAM (PAYS-BAS)
SHEYKO ROMAN	2013_ST41	KHARKOV INSTITUTE OF SOCIAL RESEARCH
SHIM SUNGEUN	2009_ST17	NA
SHUGGART MATTHIEW	2009_ST48	NA
SHUKAN IOULIA	2009_ST38	SCIENCES PO PARIS
SHUKAN IOULIA	2011_ST44	SCIENCES PO PARIS
SHUKAN IOULIA	2013_ST39	ISP, U. PARIS 10
SHUKAN TATYANA	2011_ST48	SCIENCES PO PARIS
SIBLOT YASMINE	2009_ST34	PARIS I
SIBLOT YASMINE	2009_ST50	G FRIEDMANN, CSU, U. PARIS 1
SIBLOT YASMINE	2015_ST17	U. PARIS 8 CRESPPA CSU
SIDI MOUSSA NEDJIB	2013_ST53	CESSP, U. PARIS 1
SIDOROVA ELENA	2017_ST69	CERI, SCIENCES PO PARIS
SIECA ELISABETH	2009_ST47	KOZLOWSKI PIPSS
SIGALO SANTOS LUC	2015_ST17	U. PARIS 8 CRESPPA LABTOP
SIGALO SANTOS LUC	2015_ST37	CRESPPA LABTOP
SIGALO SANTOS LUC	2017_ST2	U. PARIS 8 CRESPPA
SIGALO SANTOS LUC	2017_ST22	U. PARIS 8, LABTOP CRESPPA
SIGMAN CAROLE	2009_ST20	ISP, U. PARIS 10
SILHOL GUILLAUME	2017_ST58	IEP AIX EN PROVENCE CHERPA
SIMARD AUGUSTIN	2009_ST52	U. MONTREAL (CANADA)
SIMARD CAROLLE	2009_ST34	U. QUEBEC MONTREAL (CANADA)
SIMARD LOUIS	2009_ST41	U. OTTAWA (CANADA)
SIMEANT JOHANNA	2009_ST47	PARIS 1
SIMEANT JOHANNA	2013_ST35	CESSP, U. PARIS 1
SIMEANT JOHANNA	2013_ST50	CESSP, U. PARIS 1
SIMEANT JOHANNA	2015_ST12	CESSP/ PARIS I
SIMOES RAISA	2017_ST72	RAISA MULATINHO SIMOES U. PARIS 1, FRANCE
SIMON ALICE	2015_ST10	CEPEL, U. MONTPELLIER 1
SIMON ALICE	2015_ST8	NA
SIMON ALICE	2017_ST46	CEPEL, U. MONTPELLIER 1
SIMON PATRICK	2013_ST11	<< REPRESENTER LA DIVERSITE EN POLITIQUE : UNE REFORMULATION DE LA DIFFERENCE ET DE LEGALITE PAR LA DOXA REPUBLICAINE >>, RAISONS POLITIQUES, 35, 2009, PP 125 142 FASSIN, DIDIER, LA FORCE DE LORDRE UNE ANTHROPOLOGIE DE LA POLICE DES QUARTIERS, PARIS: EDITIONS DU SEUIL, 2011 JUBANY, OLGA, << CONSTRUCTING TRUTHS IN A CULTURE OF DISBELIEF: UNDERSTANDING ASYLUM SCREENING FROM WITHIN >>, INTERNATIONAL SOCIOLOGY, N0 26, 2011, PP 74 94 KIM, CLAIRE, JEAN, BITTER FRUIT: THE POLITICS OF BLACK KOREAN CONFLICT IN NEW YORK CITY, NEW HAVEN, CT, YALE UNIVERSITY PRESS, 2000 LENS, VICKY ET COLLEEN CARY, << NEGOTIATING THE DISCOURSE OF RACE WITHIN THE UNITED STATES WELFARE SYSTEM >>, ETHNIC AND RACIAL STUDIES, N0 33, 2010, PP 1032 1048 LIPSKY, MICHAEL, STREET LEVEL BUREAUCRACY DILEMMAS OF THE INDIVIDUAL IN PUBLIC SERVICES, NEW YORK, RUSSELL SAGE FOUNDATION, 2010 1980
SIMONNEAU DAMIEN	2013_ST51	IEP BORDEAUX
SIMONNEAU DAMIEN	2015_ST53	CED, IEP BORDEAUX
SIMONNEAU DAMIEN	2017_ST23	CED, IEP BORDEAUX
SIMOULIN VINCENT	2015_ST41	U. TOULOUSE/UTM/CERTOP
SINIGAGLIA JEREMY	2015_ST31	SAGE IEP STRASBOURG
SINTOMER YVES	2011_ST37	U. PARIS 8, CSU
SINTOMER YVES	2015_ST24	NA
SINTOMER YVES	2017_ST39	U. PARIS 8 CESPPA CSU
SIRON THOMAS	2013_ST12	EHESS MARSEILLE
SITZENSTUHL CHARLES	2015_ST9	CERI, SCIENCES PO PARIS
SITZENSTUHL CHARLES	2017_ST69	CERI, SCIENCES PO PARIS
SKORNICKI ARNAUD	2013_ST60	NA
SKORNICKI ARNAULT	2017_ST3	NA
SMADJA DAVID	2009_ST11	U. PARIS EST
SMADJA DAVID	2009_ST52	PARIS EST MARNE LA VALLEE
SMADJA DAVID	2013_ST58	U. PARIS EST MARNE LA VALLEE
SMADJA DAVID	2015_ST24	U. PARIS EST MARNE LA VALLEE FRANCE
SMADJA DAVID	2017_ST3	NA
SMADJA DAVID	2017_ST31	LIPHA U. PARIS EST MARNE LA VALLEE
SMADJA DAVID	2017_ST32	U. PARIS EST MARNE LA VALLEE
SMAGGHE LAURENT	2015_ST8	SORBONNE)
SMAOUI SELIM	2015_ST50	SCIENCES PO PARIS
SMEDSLUND KATIA	2009_ST15	U. PARIS 3
SMILOV DANIEL	2013_ST41	NA
SMITH ANDY	2009_ST22	NA
SMITH ANDY	2011_ST12	CED
SMITH ANDY	2011_ST2	CED, IEP BORDEAUX
SMITH ANDY	2013_ST16	CED, U. BORDEAUX
SMITH ANDY	2015_ST15	CED, U. BORDEAUX
SMITH ANDY	2017_ST18	IEP BORDEAUX
SMITH ANDY	2017_ST4	FNSP, CED U. BORDEAUX
SMITH ETIENNE	2009_ST9	CERI, SCIENCES PO / CNRS
SMITH ETIENNE	2017_ST41	CHAIRE ETUDES AFRICAINES COMPAREES, RABAT (MAROC) / CERI, SCIENCES PO PARIS
SMITH RODNEY	2015_STRC20IPSA	U. SYDNEY
SMOUTS MARIE CLAUDE	2009_ST41	CERI, SCIENCES PO PARIS
SMYRL MARC	2009_ST20	CEPEL, U. MONTPELLIER 1
SMYRL MARC	2013_ST1	DENVER U. (USA)
SMYRL MARC	2015_ST44	CEPEL, U. MONTPELLIER 1
SMYRL MARC	2017_ST25	CEPEL, U. MONTPELLIER 1
SMYRNAIOS NIKOS	2015_ST7	LERASS, U. TOULOUSE 3
SMYRNAIOS NIKOS	2017_ST44	U. TOULOUSE 3
SOISSONS JULIETTE	2017_ST13	CURAPP ESS, U. PICARDIE
SOLCHANY JEAN	2013_ST60	IEP LYON
SOLINI LAURENT	2017_ST13	LABORATOIRE SANTESIH, U. MONTPELLIER
SOMMERER ERWAN	2013_ST61	CREDA / IHEAL, GROUPE DETUDES SIEYESIENNES / NOSOPHI PARIS 1
SOMMERER ERWAN	2015_ST47	GES/CRHI, U. NICE
SOMMIER ISABELLE	2013_ST53	CESSP, U. PARIS 1
SOMMIER ISABELLE	2015_ST13	U. PARIS 1
SONNTAG SELMA	2013_ST14	SELMA K SONNTAG HUMBOLDT STATE UNIVERSITY, CALIFORNIE
SOO SIM HEUNG	2013_ST41	NA
SOO SIM HEUNG	2015_STRC20IPSA	RIDER UNIVERSITY
SOO SOLENE	2011_ST7	CERAPS, U. LILLE 2
SOOSAITHASAN SOLENE	2013_ST51	IEP LILLE
SORIANO ERIC	2013_ST25	U. MONTPELLIER 3
SORIAT CLEMENT	2015_ST30	CERAPS, U. LILLE 2
SORIAT CLEMENT	2017_ST21	CERAPS, U. LILLE 2
SOUANEF KARIM	2011_ST51	IRISSO, U. PARIS 9 / UMR CNRS 7170
SOUANEF KARIM	2015_ST7	SCIENCES PO, CDSP ET IRISSO, U. PARIS 9
SOUBIRAN THOMAS	2011_ST52	CERAPS, U. LILLE 2
SOUBIRON AUDE	2009_ST29	SOUBIRON AUDE IRISSO, U. PARIS 9,
SOUBIRON AUDE	2011_ST22	IRISSO, U. PARIS 9
SOULE FOLASHADE	2013_ST48	KOHNDOU SCIENCES PO PARIS/CERI, FRANCE
SOULE FOLASHADE	2017_ST69	NA
SOUM EL YAMINE	2009_ST34	NA
SOURP MARIE LAURE	2009_ST50	TAILLARDAS GSPM IMM, U. VERSAILLES SAINT QUENTIN
SPANU MAJA	2017_ST63	U. CAMBRIDGE
SPECTOR CELINE	2013_ST31	U. BORDEAUX 3, IUF
SPIESER CATHERINE	2009_ST23	GROUPE DE SOCIOLOGIE POLITIQUE EUROPEENNE, IEP STRASBOURG
SPIESER CATHERINE	2013_ST6	CEE, SCIENCES PO PARIS
SPIRE ALEXIS	2013_ST11	CERAPS, U. LILLE 2
SPIRE ALEXIS	2015_ST17	IRIS
SPOERER MATILDE	2015_ST25	U. PARIS 1
SQUARCIONI LAURE	2017_ST37	CED, IEP BORDEAUX
SRIDHARAN ESWARAN	2013_ST41	NA
STAMBOLIS MICHAEL	2013_ST32	RUHSTORFER U. CALIFORNIA, LOS ANGELES UCLA
STAVO JOAO	2015_ST16	NA
STAVRIDIS STELIOS	2013_ST40	ARAID/UNIVERSIDAD DE ZARAGOZA
STAVRIDIS STELIOS	2015_ST43	ARAID/UNIVERSIDAD DE ZARAGOZA, ESPAGNE
STAVRIDIS STELIOS	2017_ST66	ARAID, UNITE DE RECHERCHE << ETUDES EUROPEENNES ET INTERNATIONALES >>, U. SARAGOSSE
STEFFEN MONIKA	2009_ST23	PACTE, IEP GRENOBLE
STEFFEN MONIKA	2013_ST15	PACTE, IEP GRENOBLE
STEINER ANDREA	2013_ST49	U. FEDERALE PERNAMBUCO RECIFE (BRESIL)
STEINMETZ HELENE	2011_ST52	ENS / CMH ETT
STEINMETZ HELENE	2017_ST8	U. DU HAVRE / IDEES
STEPHAN RAYA MARINA	2009_ST30	UNESCO HPI
STERCZYNSKA ANNA	2015_ST45	CERI, SCIENCES PO PARIS
STIMSON JAMES	2009_ST5	U. NORTH CAROLINA CHAPEL HILL (USA)
STORME TRISTAN	2015_ST29	U. NANTES
STORUP BERANGERE	2013_ST21	FONDATION SCIENCES CITOYENNES
STRNADOVA LENKA	2013_ST31	ZAPADOCESKA UNIVERZITA V PLZNI
STROUP SARAH	2013_ST50	POLITICAL SCIENCE, MIDDLEBURY COLLEGE (USA)
STRUDEL SYLVIE	2013_ST26	U. PARIS 2
STRUDEL SYLVIE	2015_ST6	NA
STRUDEL SYLVIE	2017_ST33	CECP, U. PARIS 2 / CEVIPOF, SCIENCES PO PARIS
STUCHLIK ANDREJ	2011_ST27	DEUTSCHE HOCHSCHULE FUR VERWALTUNGSWISSENSCHAFTEN SPEYER
STUPARU LORENA	2013_ST63	INSTITUT DES SCIENCES POLITIQUES ET DE RELATIONS INTERNATIONALES DE LACADEMIE ROUMAINE / U. BUCAREST (ROUMANIE)
SUDULICH LAURA	2011_ST33	U. AMSTERDAM (PAYS-BAS)
SUK DAVID	2015_STRC20IPSA	RIDER U. (USA)
SURDEZ MURIEL	2011_ST35	U. FRIBOURG (SUISSE)
SURDEZ MURIEL	2017_ST14	U. FRIBOURG (SUISSE)
SUREL YVES	2009_ST14	U. PARIS 2
SUREL YVES	2009_ST15	U. PARIS 2
SUREL YVES	2009_ST20	U. PARIS 2
SUREL YVES	2011_ST16	U. PARIS 2
SUREL YVES	2013_ST23	U. PARIS 2
SUREL YVES	2015_ST32	U. PARIS 2
SUREL YVES	2017_ST18	U. PARIS 2
SUTTER ANNE	2009_ST7	CHERPA, IEP AIX EN PROVENCE
SUTTER ANNE	2011_ST41	IEP AIX EN PROVENCE
SWYNGEDOUW MARC	2009_ST42	KATHOLIEKE U. LEUVEN (BELGIQUE)
SWYNGEDOUW MARC	2017_ST33	ISPO, U. LEUVEN (BELGIQUE)
SZUBA MATHILDE	2013_ST62	CETCOPRA, U. PARIS 1
SZUBA MATHILDE	2015_ST26	CETCOPRA, U. PARIS 1
SZUBA MATHILDE	2015_ST56	CETCOPRA, U. PARIS 1
SZUREK JEAN CHARLES	2009_ST10	ISP, U. PARIS 10
TABIN JEAN PIERRE	2017_ST6	HAUTE ECOLE SPECIALISEE DE LA SUISSE OCCIDENTALE (SUISSE)
TAGHAVI BABAK	2017_ST42	CURAPP ESS, U. PICARDIE
TAHATA YUMIKO	2017_ST31	URMI, U. NICE
TAICLET ANNE FRANCE	2013_ST24	U. LYON 2, TRIANGLE
TAICLET ANNE FRANCE	2013_ST37	U. LYON 2 TRIANGLE
TAICLET ANNE FRANCE	2015_ST22	TRIANGLE CNRS/ENS/U. LYON 2
TAICLET ANNE FRANCE	2017_ST12	LYON 2/TRIANGLE
TAIEB EMMANUEL	2009_ST44	PACTE, IEP GRENOBLE
TAIEB EMMANUEL	2013_ST58	PACTE, IEP GRENOBLE
TAIEB EMMANUEL	2017_ST56	TRIANGLE, IEP LYON / IUF
TAIEB SAMIR	2009_ST48	FACULTE DE DROIT DE TUNIS (TUNISIE)
TALPIN JULIEN	2009_ST122	CSU
TALPIN JULIEN	2011_ST19	CERAPS, U. LILLE 2
TALPIN JULIEN	2011_ST37	CRPS, U. PARIS 1 / CRESPPA
TALPIN JULIEN	2013_ST29	CERAPS, U. LILLE 2
TALPIN JULIEN	2015_STGREPO	CERAPS, U. LILLE 2
TALPIN JULIEN	2017_ST39	CERAPS, U. LILLE 2
TALPIN JULIEN	2017_ST50	CERAPS, U. LILLE 2
TANASE ALEXANDRE	2015_ST62	CPC, U. PARIS 1
TANDE ALEXANDRE	2011_ST22	U. LIBRE BRUXELLES (BEGIQUE) / U. LILLE 2
TANGUY GILDAS	2009_ST10	CRPS, U. PARIS 1
TANGUY GILDAS	2011_ST26	LASSP, IEP TOULOUSE
TANGUY GILDAS	2013_ST2	LASSP, IEP TOULOUSE
TANGUY GILDAS	2015_ST28	LASSP, IEP TOULOUSE
TANGUY GILDAS	2017_ST40	LASSP, IEP TOULOUSE
TANKE SARAH	2017_ST69	CERI, SCIENCES PO PARIS
TANNOUS MANON NOUR	2017_ST63	NA
TANNOUS MANON NOUR	2017_ST69	NA
TASSIOPOULOS GEORGES	2013_ST25	U. PARIS EST CRETEIL
TATHAM MICHAEL	2009_ST121	EUI FLORENCE (ITALIE)
TAUGOURDEAU EMMANUELLE	2009_ST18	ENS CACHAN, IDHE CACHAN
TAUT CODRIN	2013_ST55	FACULTE DE SCIENCES POLITIQUES, U. BUCAREST
TAWA STEPHANIE	2015_STGREPO	LAMA REWAL CNRS/CEIAS
TAWFIK AMAL	2013_ST52	U. GENEVE (SUISSE)
TCHAM TESSA	2015_ST41	U. PARIS 1X / IRISSO / DIM GESTES
TEILLET PHILIPPE	2011_ST14	TEILLET PHILIPPE PACTE
TEILLET PHILIPPE	2013_ST58	PACTE, IEP GRENOBLE CNRS
TEINTURIER SARA	2015_ST16	GSRL, EPHE PARIS
TEINTURIER SARA	2017_ST32	PROJET RELIGION ET DIVERSITE CRSH (CANADA)
TEJERINA BENJAMIN	2009_ST39	U. PAYS BASQUE
TELLEZ OLIVIER	2013_ST30	UNIVERSIDAD PEDAGOGICA NACIONAL, MEXICO
TENENBAUM CHARLES	2011_ST4	CERI, SCIENCES PO PARIS
TENENBAUM CHARLES	2013_ST43	IEP LILLE / CERAPS, U. LILLE 2
TENENBAUM CHARLES	2015_ST51	IEP LILLE / CERAPS, U. LILLE 2
TENENBAUM CHARLES	2015_STGRAM	SCIENCES PO LILLE / CERAPS, U. LILLE 2
TENEY CELINE	2009_ST34	ANDREA REA, PASCAL DELWIT ULB
TERAN MARIA VICTORIA	2013_ST41	NA
THENEAUD SOPHIE	2017_ST45	NA
THERET BRUNO	2017_ST5	IRISSO/U. PARIS 9
THETAZ FABIEN	2015_ST27	IEPI, U. LAUSANNE (SUISSE)
THETAZ FABIEN	2017_ST1	NA
THEUNS TOM	2013_ST22	BALLIOL COLLEGE, OXFORD UNIVERSITY
THEUNS TOM	2015_ST29	CERI, SCIENCES PO PARIS
THEVIOT ANAIS	2015_ST7	CED, IEP BORDEAUX
THEVIOT ANAIS	2017_ST42	CED
THIAW LUDIVINE	2013_ST65	PO UNE U. PARIS SORBONNE PARIS IV
THIBAULT ADRIEN	2015_ST28	SAGE U. STRASBOURG
THIEBAUT CYRILLE	2009_ST1	PARIS 1
THIEBAUT CYRILLE	2009_ST21	CRPS, C2SD, U. PARIS 1
THIEBAUT CYRILLE	2009_ST5	U. PARIS 1
THIERY GUILLAUME	2009_ST7	PARIS 1/CRPS
THINE SYLVAIN	2017_ST35	CESSP CNRS
THIOLLET HELENE	2009_ST32	ENS
THIOLLET HELENE	2013_ST44	CHARGEE DE RECHERCHE, CERI, SCIENCES PO PARIS
THIOLLET HELENE	2013_ST47	CERI, SCIENCES PO / PSIA
THIRIOT CELINE	2009_ST9	CEAN, IEP BORDEAUX
THIVET DELPHINE	2011_ST42	THIVET DELPHINE CMH ENS EHESS PARIS
THIVET DELPHINE	2013_ST50	CMH EHESS PARIS
THOMANN MARIANNE	2009_ST26	INSTITUT DE GEOGRAPHIE, U. LAUSANNE (SUISSE)
THOMAS HELENE	2011_ST20	IEP AIX EN PROVENCE
THOMAS HELENE	2017_ST27	AIX MARSEILLE U.
THOMAS VALENTIN	2017_ST24	U. PARIS 9
THROSSEL KATHARINE	2013_ST35	L CEE, SCIENCES PO PARIS
TIBBAUT AURELIE	2017_ST34	ET FLORENT LEGRAND U. LIBRE BRUXELLES, CEPAP
TIBERJ VINCENT	2009_ST5	CEE
TIBERJ VINCENT	2013_ST26	CEE, SCIENCES PO PARIS
TIBERJ VINCENT	2013_ST28	CEE DE SCIENCES PO, PARIS
TIBERJ VINCENT	2015_ST2	CEE, SCIENCES PO PARIS
TIBERJ VINCENT	2017_ST54	CED, IEP BORDEAUX
TIXIER CAROLINE	2015_ST60	U. PARIS 2
TOKA GABOR	2009_ST5	CENTRAL EUROPEAN UNIVERSITY BUDAPEST
TOLLER ANNETTE	2017_ST20	FERNUNIVERSITAT HAGEN
TOMAS FORNES MARIONA	2009_ST122	NA
TOMAZINI CARLA	2015_ST37	IHEAL CREDA / U. CAMPINAS UNICAMP
TOMESCU ODETTE	2009_ST17	HATTO SCIENCES PO PARIS
TOMINI LUCA	2011_ST46	U. LIBRE BRUXELLES (BELGIQUE)
TONISMANN TEELE	2017_ST65	NA
TOPCU SEZIN	2015_ST35	EHESS, INSTITUT MARCEL MAUSS / IMM
TOPCU SEZIN	2017_ST17	CNRS EHESS PARIS
TOPCU SEZIN	2017_ST8	TOPCU SEZIN CNRS / CENTRE DETUDE DES MOUVEMENTS SOCIAUX INSTITUT MARCEL MAUSS
TOPLAK JURIJ	2013_ST41	NA
TORDJMAN SIMON	2015_ST54	LASSP, IEP TOULOUSE
TORDJMAN SIMON	2017_ST73	IEP TOULOUSE/LABORATOIRE DES SCIENCES SOCIALES DU POLITIQUES
TORNY DIDIER	2013_ST20	INRA RITME
TORNY DIDIER	2017_ST64	CSI I3, CNRS
TORREIRO JUAN	2011_ST30	JUAN J TORREIRO GSPE-PRISME, IEP STRASBOURG ET CESSP-CRPS, U. PARIS 1
TORREKENS CATHERINE	2013_ST29	NA
TORTERAT FREDERIC	2017_ST44	NA
TOURNADRE JEROME	2013_ST60	ISP / CNRS
TOURNAY VIRGINIE	2013_ST20	PACTE/IEP GRENOBLE
TOURNIER VINCENT	2009_ST42	IEP GRENOBLE
TOURNIER VINCENT	2009_ST44	PACTE, IEP GRENOBLE
TOURNON MARIANA	2017_ST36	U. PARIS EST, LABURBA
TOURRAILLE FANNY	2011_ST53	U. TOULOUSE 1 LASSP
TOURRAILLE FANNY	2013_ST24	NA
TOURRAILLE FANNY	2013_ST33	LASSP, IEP TOULOUSE
TOUSSAINT MARIE	2017_ST16	EHESS, CENTRE NORBERT ELIAS / IRD, UMR GRED
TOUZET CHLOE	2015_ST38	SCIENCES PO, LIEPP, SCIENCES PO PARIS
TOZZI PIERRE	2009_ST41	NA
TRACHMAN MATHIEU	2013_ST33	IRIS, EHESS PARIS
TRACOL MATTHIEU	2011_ST32	U. PARIS 1, CENTRE DHISTOIRE SOCIALE DU 20E SIECLE
TRAINI CHRISTOPHE	2013_ST35	IEP AIX EN PROVENCE, CHERPA
TRAINI CHRISTOPHE	2015_ST8	CHERPA
TRAINI CHRISTOPHE	2017_ST60	IEP AIX EN PROVENCE, CHERPA
TRAN THINGOCNHUNG	2017_ST49	CAN THO UNIVERSITY, VIETNAM
TREDAN OLIVIER	2017_ST10	CRAPE, U. RENNES 1
TREGOURES LOIC	2011_ST51	CERAPS, U. LILLE 2 / U. LIBRE BRUXELLES (BELGIQUE)
TREGOURES LOIC	2017_ST60	CERAPS, U. LILLE 2
TREHIN REMI	2011_ST45	LALANNE LEST, U. PROVENCE
TREILLE ERIC	2009_ST4	U. RENNES 1, IEP CRAPE
TREILLE ERIC	2011_ST31	CRAPE/IEP RENNES
TREILLE ERIC	2013_ST10	CRAPE
TREILLE ERIC	2015_ST21	CRAPE RENNES
TREILLE ERIC	2017_ST42	CRAPE
TREMBLAY MANON	2009_ST16	U. OTTAWA (CANADA)
TREMON ANNE CHRISTINE	2009_ST35	CMH, CNRS/EHESS PARIS
TRENESKA RENATA	2013_ST41	NA
TREPIED BENOIT	2009_ST35	IRIS, CNRS/EHESS PARIS
TREPIED BENOIT	2011_ST13	EHESS / PROGRAMME ERC SOGIP SCALES OF GOVERNANCE AND INDIGENOUS PEOPLES
TREPOS JEAN YVES	2015_ST8	LABORATOIRE LORRAIN DE SCIENCES SOCIALES 2L2S
TRICOIRE AURELIE	2013_ST16	CENTRE SCIENTIFIQUE ET TECHNIQUE DU BATIMENT
TRICOU JOSSELIN	2015_ST16	U. PARIS 8
TROM DANNY	2009_ST50	GSPM IMM, EHESS PARIS
TROM DANNY	2011_ST9	IMM GSPM
TROMBERT ADELINE	2009_ST44	GRIVEL IEP GRENOBLE
TROUPEL AURELIA	2013_ST27	U. MONTPELLIER 1
TROUPEL AURELIA	2017_ST36	CEPEL, U. MONTPELLIER 1
TRUC GEROME	2011_ST50	IMM/EHESS ET EHEHI/CASA DE VELAZQUEZ
TRUC GEROME	2015_ST8	CEMS IMM)
TRUC GEROME	2017_ST54	ISSP
TRUCCO DANIELA	2017_ST31	ERMES, U. NICE
TSUCHIYA MIYUKI	2015_ST35	U. PANTHEON ASSAS / CERSA
TU~NON JORGE	2011_ST51	U. CARLOS III DE MADRID
TUCCI INGRID	2011_ST43	DIW BERLIN
TULMETS ELSA	2013_ST43	CERI, SCIENCES PO PARIS
TULMETS ELSA	2015_ST42	CERI, SCIENCES PO PARIS
TULMETS ELSA	2015_ST44	CERI, SCIENCES PO PARIS
TURCU ANCA	2015_ST5	THE U. CENTRAL FLORIDA
UHODA MAXIME	2015_ST41	U. LIEGE (BELGIQUE)
UMPIERREZ DE REGUERO SEBASTIAN	2017_ST41	MISHELLE GELLIBERT, ZAYLIN BRITO UNIVERSIDAD CASA GRANDE, EQUATEUR
UMUBYEYI LILIANE	2015_ST50	ISSP ENS CACHAN
UNGER MATHILDE	2015_ST29	U. PARIS 1
URFALINO PHILIPPE	2013_ST64	EHESS PARIS
URFALINO PHILIPPE	2015_ST25	CESPRA, EHESS PARIS
UYSAL AYSEN	2009_ST7	U. DOKUZ EYLUL
UYSAL AYSEN	2011_ST31	U. DOKUZ EYLUL/IZMIR TURQUIE
UYSAL AYSEN	2013_ST25	U. DOKUZ EYLUL, TURQUIE
UYSAL AYSEN	2017_ST29	U. DOKUZ EYLUL, IZMIR
VADOT GUILLAUME	2013_ST12	U. PARIS 1
VAILHE EDOUARD	2017_ST57	CESPRA, EHESS PARIS
VAIREL FREDERIC	2009_ST49	ECOLE DETUDES POLITIQUES, U. OTTAWA (CANADA)
VAIREL FREDERIC	2011_ST31	ECOLE DETUDES POLITIQUES, U. OTTAWA (CANADA)
VAIREL FREDERIC	2011_ST4	U. OTTAWA (CANADA), KARINE VANTHUYNE, DANTHROPOLOGIE A LU. OTTAWA (CANADA) ET LES DOCTORANTS DES UNIVERSITES DE PARIS I, PARIS 10, BRUXELLES ULB
VAIREL FREDERIC	2015_ST47	ECOLE DETUDES POLITIQUES, U. OTTAWA (CANADA)
VALA JORGE	2009_ST42	U. LISBONNE (PORTUGAL)
VALEGEAS FRANCOIS	2017_ST11	NA
VAN BIEZEN INGRID	2013_ST41	NA
VAN BIEZEN INGRID	2015_STRC20IPSA	LEIDEN UNIVERSITY (ALLEMAGNE)
VAN HAMME GILLES	2009_ST13	IGEAT, U. LIBRE BRUXELLES (BELGIQUE)
VAN HAMME GILLES	2009_ST5	IGEAT, U. LIBRE BRUXELLES (BELGIQUE)
VAN HAMME GILLES	2011_ST34	IGEAT, U. LIBRE BRUXELLES (BELGIQUE)
VAN INGELGOM VIRGINIE	2013_ST6	ISPOLE, U. CATHOLIQUE LOUVAIN (BELGIQUE)
VAN INGELGOM VIRGINIE	2015_ST8	ISPOLE, U. CATHOLIQUE LOUVAIN (BELGIQUE)
VAN INGELGOM VIRGINIE	2015_STPOPACT	ISPOLE, U. CATHOLIQUE LOUVAIN (BELGIQUE)
VAN SULL ANAIS	2011_ST43	U. CATHOLIQUE LOUVAIN (BELGIQUE)/GIRSEF ET EHESS/ERIS
VAN ZANTEN AGNES	2009_ST29	OSC CNRS
VANDAL GILLES	2009_ST44	ECOLE DE POLITIQUE APPLIQUEE, U. SHERBROOKE (CANADA)
VANEL GREGORY	2009_ST4	INSTITUT QUEBECOIS DES HAUTES ETUDES INTERNATIONALES, U. LAVAL (CANADA)
VANHOENACKER MAXIME	2013_ST35	IIAC TRAM, QUAI BRANLY
VANNETZEL MARIE	2017_ST71	CURAPP ESS
VANNEUVILLE RACHEL	2011_ST42	TRIANGLE CNRS, LYON
VANTHOURNOUT LUDIVINE	2009_ST6	CRPS, PARIS I
VARGAS JOSE	2013_ST41	NA
VARGOVCIKOVA JANA	2015_ST45	U. PARIS 10 ET U. CHARLES DE PRAGUE
